Time (s),Mass (kg),Average weight,Pull force (kg)
0.000479221,0.0656,80.12031157,80.0544
0.002424002,0.0793,,80.0407
1.912765741,0.0103,,80.1097
1.927401781,0.0159,,80.1041
1.93747592,0.0083,,80.1117
1.953318119,0.0174,,80.1026
1.967289925,0.0002,,80.1198
1.980359793,0.0076,,80.1124
1.987039804,0.0006,,80.1194
2.002053022,0.0085,,80.1115
2.019247055,0.0272,,80.0928
2.024328947,0.0079,,80.1121
2.047292948,0.0195,,80.1005
2.050127983,0.027,,80.093
2.060180902,0.0089,,80.1111
2.075826883,0.0016,,80.1184
2.085367918,0.0054,,80.1146
2.097079992,0.0005,,80.1195
2.109292984,0.0075,,80.1125
2.121654987,0.0086,,80.1114
2.133954048,0.03,,80.09
2.146485806,0.0243,,80.0957
2.158509016,0.0267,,80.0933
2.171184778,0.0161,,80.1039
2.183214903,0.0085,,80.1115
2.195752859,0.0076,,80.1124
2.208284855,0.0102,,80.1098
2.219841003,0.0096,,80.1104
2.232937813,0.005,,80.115
2.244494915,0.0087,,80.1113
2.256827116,0.0097,,80.1103
2.269352913,0.0095,,80.1105
2.28209877,0.0147,,80.1053
2.294128895,0.0215,,80.0985
2.305939913,0.0138,,80.1062
2.318056822,0.0216,,80.0984
2.330853939,0.015,,80.105
2.34306097,0.0149,,80.1051
2.355374098,0.0018,,80.1182
2.367276907,0.0163,,80.1037
2.380414963,0.0041,,80.1159
2.391808987,0.016,,80.104
2.404340982,0.0209,,80.0991
2.418685913,0.006,,80.114
2.428699017,0.0002,,80.1198
2.440988779,0.0045,,80.1155
2.453527927,0.0004,,80.1196
2.46556592,0.0031,,80.1169
2.477776051,0.004,,80.116
2.490082026,0.03,,80.09
2.505768776,0.0113,,80.1087
2.511366129,0.018,,80.102
2.523271799,0.0149,,80.1051
2.535412788,0.0073,,80.1127
2.549160957,0.0075,,80.1125
2.560181856,0.0115,,80.1085
2.573167086,0.0198,,80.1002
2.584776878,0.029,,80.091
2.59691,0.0026,,80.1174
2.60904479,0.0122,,80.1078
2.623132944,0.0314,,80.0886
2.633641958,0.0012,,80.1188
2.646000862,0.0159,,80.1041
2.65820694,0.0104,,80.1096
2.670940876,0.0055,,80.1145
2.682823896,0.0088,,80.1112
2.694940805,0.0095,,80.1105
2.707699776,0.001,,80.119
2.719645739,0.0104,,80.1096
2.732435942,0.0023,,80.1177
2.744171858,0.0056,,80.1144
2.760473967,0.0175,,80.1025
2.772855997,0.0375,,80.0825
2.78666997,0.0092,,80.1108
2.797333002,0.009,,80.111
2.809606791,0.0097,,80.1103
2.821915865,0.0018,,80.1182
2.83420682,0.0062,,80.1138
2.84655571,0.0065,,80.1135
2.859009027,0.0004,,80.1196
2.871106863,0.0217,,80.0983
2.883803129,0.0142,,80.1058
2.895735025,0.0101,,80.1099
2.90820694,0.0047,,80.1153
2.920426846,0.012,,80.108
2.932668924,0.0079,,80.1121
2.944881916,0.015,,80.105
2.957141876,0.0063,,80.1137
2.969768763,0.0077,,80.1123
