Time (s),Mass (kg),Average mass (kg),Pull force (kg)
0.000880957,1.4803,65.89314135,64.4127
1.914277792,0.009,,65.884
1.926527977,0.0112,,65.8818
1.938806057,0.0007,,65.8923
1.952640057,0.0037,,65.8893
1.963926792,0.0287,,65.8643
1.976680994,0.0234,,65.8696
1.988289833,0.0108,,65.8822
2.000267029,0.0108,,65.8822
2.014916897,0.0141,,65.8789
2.025009871,0.033,,65.86
2.038880825,0.0212,,65.8718
2.050784111,0.0215,,65.8715
2.061895847,0.0156,,65.8774
2.074050903,0.0029,,65.8901
2.086216927,0.002,,65.891
2.098822832,0.0155,,65.8775
2.111150742,0.0253,,65.8677
2.123322964,0.0078,,65.8852
2.135687828,0.0023,,65.8907
2.147666931,0.0283,,65.8647
2.159937143,0.0298,,65.8632
2.172190905,0.0271,,65.8659
2.184978008,0.0226,,65.8704
2.196832895,0.0279,,65.8651
2.209609985,0.0214,,65.8716
2.221801996,0.0089,,65.8841
2.233730793,0.0049,,65.8881
2.245922804,0.0058,,65.8872
2.258595943,0.0019,,65.8911
2.270493984,0.0152,,65.8778
2.282814026,0.0204,,65.8726
2.295173883,0.0169,,65.8761
2.307365894,0.012,,65.881
2.319711924,0.0047,,65.8883
2.331918955,0.0008,,65.8922
2.344173908,0.028,,65.865
2.356524706,0.0265,,65.8665
2.368806839,0.0123,,65.8807
2.381038904,0.0018,,65.8912
2.393366098,0.0166,,65.8764
2.405633688,0.0192,,65.8738
2.417917967,0.0014,,65.8916
2.430224895,0.0029,,65.8901
2.442867041,0.0148,,65.8782
2.450845003,0.0095,,65.8835
2.463114023,0.0077,,65.8853
2.475590944,0.0039,,65.8891
2.48791194,0.0202,,65.8728
2.499908924,0.0115,,65.8815
2.51274991,0.003,,65.89
2.524981976,0.026,,65.867
2.536808014,0.0056,,65.8874
2.549063921,0.0031,,65.8899
2.561338902,0.0106,,65.8824
2.573983908,0.0024,,65.8906
2.585925817,0.017,,65.876
2.598185062,0.0074,,65.8856
2.610570908,0.0043,,65.8887
2.622834921,0.0169,,65.8761
2.63509798,0.0151,,65.8779
2.647403002,0.0025,,65.8905
2.659951925,0.0083,,65.8847
2.672092915,0.0075,,65.8855
2.684278727,0.0063,,65.8867
2.696650982,0.0033,,65.8897
2.709088802,0.0047,,65.8883
2.721103907,0.0068,,65.8862
2.733459949,0.0223,,65.8707
2.745803118,0.026,,65.867
2.759278774,0.0165,,65.8765
2.770416975,0.0038,,65.8892
2.786502838,0.0024,,65.8906
2.798821926,0.0119,,65.8811
2.811121941,0.0005,,65.8925
2.823438883,0.0228,,65.8702
2.835771799,0.0279,,65.8651
2.848098755,0.0103,,65.8827
2.860311747,0.0104,,65.8826
2.872576952,0.0086,,65.8844
2.884912968,0.0122,,65.8808
2.897368908,0.0238,,65.8692
2.90977478,0.0098,,65.8832
2.921788931,0.0021,,65.8909
2.934368849,0.0006,,65.8924
2.946367025,0.0015,,65.8915
2.95972681,0.0178,,65.8752
2.970990896,0.0294,,65.8636
2.983217955,0.0182,,65.8748
2.995617867,0.0156,,65.8774
3.008150101,0.0057,,65.8873
3.02008605,0.006,,65.887
3.032368898,0.0007,,65.8923
3.045455933,0.019,,65.874
3.060944796,0.0092,,65.8838
3.07327795,0.0005,,65.8925
3.08562994,0.0128,,65.8802
3.097899675,0.0419,,65.8511
3.11025691,0.042,,65.851
3.122411013,0.0053,,65.8877
3.134699106,0.0098,,65.8832
3.14714098,0.0224,,65.8706
3.159654856,0.0369,,65.8561
3.171586752,0.0266,,65.8664
3.183887959,0.026,,65.867
3.196175814,0.009,,65.884
3.208537817,0.0143,,65.8787
3.220826864,0.0182,,65.8748
3.233184099,0.0259,,65.8671
3.24531579,0.0346,,65.8584
3.258114815,0.0206,,65.8724
3.269941092,0.0031,,65.8899
3.282390118,0.0187,,65.8743
3.29460001,0.0166,,65.8764
3.306786776,0.0018,,65.8912
3.319222689,0.0024,,65.8906
3.335361004,0.0113,,65.8817
3.347725868,0.0206,,65.8724
3.359935999,0.0285,,65.8645
3.372248888,0.0272,,65.8658
3.384534836,0.0153,,65.8777
3.396872997,0.0004,,65.8926
3.409249783,0.007,,65.886
3.421413898,0.0021,,65.8909
3.433921099,0.0119,,65.8811
3.446034908,0.0074,,65.8856
3.458420038,0.0006,,65.8924
3.470579863,0.0029,,65.8901
3.483042717,0.0036,,65.8894
3.495352745,0.0007,,65.8923
3.507771969,0.0083,,65.8847
3.519850016,0.017,,65.876
3.533191919,0.0139,,65.8791
3.544425964,0.02,,65.873
3.556627989,0.0143,,65.8787
3.569052935,0.01,,65.883
3.581424952,0.01,,65.883
3.593611717,0.0085,,65.8845
3.610489845,0.0049,,65.8881
3.622056961,0.003,,65.89
3.634359837,0.0117,,65.8813
3.646694899,0.0187,,65.8743
3.658972025,0.025,,65.868
3.671227932,0.0344,,65.8586
3.683638096,0.0105,,65.8825
3.696022749,0.0007,,65.8923
3.708396912,0.0146,,65.8784
3.721062899,0.0013,,65.8917
3.732757092,0.0046,,65.8884
3.744982004,0.0127,,65.8803
3.758045912,0.0266,,65.8664
3.769747972,0.0017,,65.8913
3.782016039,0.0013,,65.8917
3.794243813,0.0022,,65.8908
3.806445837,0.0176,,65.8754
3.818835974,0.0143,,65.8787
3.831108809,0.008,,65.885
3.843457699,0.0023,,65.8907
3.855631828,0.0094,,65.8836
3.868075848,0.0012,,65.8918
3.88417387,0.0033,,65.8897
3.896515846,0.0103,,65.8827
3.908925056,0.0043,,65.8887
3.92116189,0.0102,,65.8828
3.934025049,0.0329,,65.8601
3.94584775,0.0179,,65.8751
3.958009958,0.0055,,65.8875
3.970307827,0.0047,,65.8883
3.982722759,0.0207,,65.8723
3.994983912,0.0115,,65.8815
4.007126808,0.0137,,65.8793
4.019555807,0.009,,65.884
4.031892061,0.0039,,65.8891
4.044141769,0.0077,,65.8853
4.056264877,0.0055,,65.8875
4.069197893,0.0009,,65.8921
4.081161976,0.0105,,65.8825
4.093580723,0.0146,,65.8784
4.105472088,0.019,,65.874
4.11794281,0.0309,,65.8621
4.130157948,0.024,,65.869
4.142514944,0.0203,,65.8727
4.158605814,0.0189,,65.8741
4.171388865,0.026,,65.867
4.183269978,0.0481,,65.8449
4.195616722,0.0108,,65.8822
4.207832813,0.031,,65.862
4.220258713,0.0063,,65.8867
4.232416868,0.0209,,65.8721
4.244714022,0.0291,,65.8639
4.25695014,0.0059,,65.8871
4.269355059,0.0236,,65.8694
4.281782866,0.0066,,65.8864
4.293968916,0.0215,,65.8715
4.306134701,0.0022,,65.8908
4.318491936,0.0155,,65.8775
4.330849886,0.0172,,65.8758
4.343207836,0.0034,,65.8896
4.355331898,0.0019,,65.8911
4.367685795,0.0102,,65.8828
4.380029917,0.007,,65.886
4.392370939,0.0083,,65.8847
4.404441833,0.0042,,65.8888
4.41675806,0.0016,,65.8914
4.433075905,0.0265,,65.8665
4.445431709,0.0075,,65.8855
4.45765996,0.0035,,65.8895
4.469967842,0.0081,,65.8849
4.482321978,0.0205,,65.8725
4.49455905,0.013,,65.88
4.506787777,0.004,,65.889
4.519158125,0.0037,,65.8893
4.531754971,0.0122,,65.8808
4.543710947,0.0047,,65.8883
4.555939913,0.0064,,65.8866
4.568471909,0.0139,,65.8791
4.580636978,0.0128,,65.8802
4.593496799,0.009,,65.884
4.605142832,0.0005,,65.8925
4.617623806,0.0067,,65.8863
4.629809856,0.0072,,65.8858
4.642138958,0.0111,,65.8819
4.654413939,0.0084,,65.8846
4.667474031,0.0175,,65.8755
4.679497957,0.0142,,65.8788
4.691307783,0.0079,,65.8851
4.7074368,0.0192,,65.8738
4.719819069,0.0305,,65.8625
4.732113838,0.0035,,65.8895
4.744392872,0.0139,,65.8791
4.756603956,0.0076,,65.8854
4.76898098,0.0037,,65.8893
4.781249762,0.0017,,65.8913
4.793750763,0.001,,65.892
4.805814028,0.0076,,65.8854
4.818178892,0.0131,,65.8799
4.830638885,0.0112,,65.8818
4.842776775,0.016,,65.877
4.854964018,0.0047,,65.8883
4.867462873,0.0054,,65.8876
4.879616976,0.0009,,65.8921
4.892022848,0.0054,,65.8876
4.904150009,0.007,,65.886
4.916665792,0.0169,,65.8761
4.928722858,0.0209,,65.8721
4.941024065,0.0074,,65.8856
4.953389883,0.0135,,65.8795
4.965700865,0.0035,,65.8895
4.981920004,0.002,,65.891
4.994166851,0.0101,,65.8829
5.006440878,0.0097,,65.8833
5.018808842,0.0111,,65.8819
5.031078815,0.0112,,65.8818
5.043529034,0.0004,,65.8926
5.055622816,0.0032,,65.8898
5.067936897,0.0114,,65.8816
5.080304861,0.0063,,65.8867
5.092600822,0.011,,65.882
5.104794979,0.0394,,65.8536
5.117188931,0.0338,,65.8592
5.129485846,0.017,,65.876
5.141731739,0.004,,65.889
5.154086828,0.0131,,65.8799
5.166287899,0.0187,,65.8743
5.178737879,0.0269,,65.8661
5.190956831,0.0218,,65.8712
5.203247786,0.0001,,65.8929
5.215906858,0.0113,,65.8817
5.228008032,0.0165,,65.8765
5.240159035,0.0273,,65.8657
5.256280899,0.0132,,65.8798
5.268743992,0.0045,,65.8885
5.280991077,0.0075,,65.8855
5.29318881,0.0116,,65.8814
5.305560827,0.0173,,65.8757
5.317955732,0.0212,,65.8718
5.330061913,0.0081,,65.8849
