Time (s),Mass (kg),,Pull force (kg)
1.910293102,0.0231,66.84666312,66.823563
1.927048922,0.0075,,66.839163
1.941064835,0.0017,,66.844963
1.952003002,0.0147,,66.831963
1.960764885,0.0091,,66.837563
1.972865105,0.0116,,66.835063
1.986548901,0.0217,,66.824963
1.997076035,0.0034,,66.843263
2.013396978,0.0148,,66.831863
2.021967173,0.0095,,66.837163
2.033715963,0.0238,,66.822863
2.051431894,0.0115,,66.835163
2.060745955,0.0146,,66.832063
2.072250128,0.0106,,66.836063
2.089653969,0.0166,,66.830063
2.098224163,0.0179,,66.828763
2.108577013,0.0136,,66.833063
2.121584177,0.0012,,66.845463
2.132609129,0.0126,,66.834063
2.143484831,0.0259,,66.820763
2.156487226,0.0267,,66.819963
2.167973042,0.0153,,66.831363
2.18503809,0.0166,,66.830063
2.194508076,0.0134,,66.833263
2.215295076,0.03,,66.816663
2.217126131,0.0042,,66.842463
2.230362177,0.0126,,66.834063
2.241957188,0.0099,,66.836763
2.254460096,0.0201,,66.826563
2.26625824,0.0113,,66.835363
2.278557062,0.0062,,66.840463
2.290807009,0.0212,,66.825463
2.303074121,0.02,,66.826663
2.315342188,0.0158,,66.830863
2.32823801,0.0003,,66.846363
2.340030909,0.0101,,66.836563
2.352302074,0.0072,,66.839463
2.364552021,0.0002,,66.846463
2.376835108,0.0022,,66.844463
2.389145136,0.0128,,66.833863
2.401422977,0.004,,66.842663
2.414494991,0.0065,,66.840163
2.432680845,0.011,,66.835663
2.439508915,0.0002,,66.846463
2.450535059,0.0026,,66.844063
2.463191032,0.0002,,66.846463
2.475099087,0.0056,,66.841063
2.487409115,0.0047,,66.841963
2.499614954,0.0072,,66.839463
2.511922836,0.0066,,66.840063
2.524253845,0.0002,,66.846463
2.536514997,0.0177,,66.828963
2.548795223,0.0083,,66.838363
2.561068058,0.002,,66.844663
2.573389053,0.0091,,66.837563
2.585639238,0.021,,66.825663
2.597975969,0.0055,,66.841163
2.610334873,0.0168,,66.829863
2.622682095,0.0229,,66.823763
2.63522315,0.002,,66.844663
2.64706707,0.0144,,66.832263
2.661306143,0.0116,,66.835063
2.671648026,0.0175,,66.829163
2.683944941,0.008,,66.838663
2.69618988,0.0171,,66.829563
2.708503962,0.0091,,66.837563
2.720880032,0.0124,,66.834263
2.733071089,0.01,,66.836663
2.74543786,0.0055,,66.841163
2.757690191,0.0189,,66.827763
2.769934177,0.0189,,66.827763
2.782391071,0.013,,66.833663
2.795645952,0.0125,,66.834163
2.807471037,0.0012,,66.845463
2.819519997,0.0017,,66.844963
2.832129002,0.0124,,66.834263
2.846342087,0.0059,,66.840763
2.857044935,0.0103,,66.836363
2.868862867,0.0085,,66.838163
2.880913258,0.0145,,66.832163
2.89349699,0.0096,,66.837063
2.905236006,0.0009,,66.845763
2.917549133,0.0081,,66.838563
2.930179119,0.008,,66.838663
2.946163893,0.0085,,66.838163
2.958420038,0.0193,,66.827363
2.970638037,0.0313,,66.815363
2.982885122,0.0121,,66.834563
2.995264053,0.0203,,66.826363
