Time (s),Mass (kg),,Pull force (kg)
1.908158779,0.0165,,63.81095
1.920751095,0.0227,,63.80475
1.932978153,0.032,,63.79545
1.945657015,0.032,,63.79545
1.958214045,0.0159,,63.81155
1.969758987,0.0262,,63.80125
1.982028008,0.0154,,63.81205
1.995337009,0.0203,,63.80715
2.006492138,0.0139,,63.81355
2.019261122,0.0088,,63.81865
2.031800985,0.0011,,63.82635
2.043688774,0.0158,,63.81165
2.056168079,0.0258,,63.80165
2.068253994,0.04,,63.78745
2.081740856,0.0328,,63.79465
2.092750072,0.0155,,63.81195
2.105286121,0.0164,,63.81105
2.117209911,0.0122,,63.81525
2.129608154,0.0126,,63.81485
2.14213109,0.0116,,63.81585
2.154035807,0.004,,63.82345
2.166213036,0.0104,,63.81705
2.178571939,0.0002,,63.82725
2.190927029,0.0157,,63.81175
2.203196049,0.0072,,63.82025
2.215913773,0.0085,,63.81895
2.22773385,0.0141,,63.81335
2.240073204,0.0179,,63.80955
2.252267838,0.0382,,63.78925
2.26594305,0.0199,,63.80755
2.276839018,0.0023,,63.82515
2.289074183,0.0119,,63.81555
2.30140996,0.0142,,63.81325
2.313668013,0.0069,,63.82055
2.325926065,0.0225,,63.80495
2.338511944,0.0132,,63.81425
2.351240158,0.0166,,63.81085
2.362864971,0.0183,,63.80915
2.375110149,0.0059,,63.82155
2.387379169,0.0055,,63.82195
2.400393009,0.0025,,63.82495
2.411985159,0.0113,,63.81615
2.424417973,0.0137,,63.81375
2.436495066,0.0096,,63.81785
2.44885397,0.0028,,63.82465
2.461050987,0.0164,,63.81105
2.473387003,0.0155,,63.81195
2.485723972,0.0035,,63.82395
2.498023033,0.0025,,63.82495
2.510198832,0.007,,63.82045
2.52255106,0.013,,63.81445
2.534826994,0.0122,,63.81525
2.547132969,0.012,,63.81545
2.559355021,0.019,,63.80845
2.571664095,0.0018,,63.82565
2.583953142,0.0125,,63.81495
2.596233845,0.0067,,63.82075
2.608490944,0.0163,,63.81115
2.62074995,0.0045,,63.82295
2.63339901,0.003,,63.82445
2.645348072,0.0123,,63.81515
2.653841019,0.0127,,63.81475
2.666247129,0.0218,,63.80565
2.678224087,0.0554,,63.77205
2.690660954,0.0405,,63.78695
2.702996969,0.0272,,63.80025
2.719072819,0.012,,63.81545
2.731422186,0.0132,,63.81425
2.743639946,0.0024,,63.82505
2.755950928,0.0303,,63.79715
2.768239975,0.0079,,63.81955
2.780553818,0.0096,,63.81785
2.792883873,0.0018,,63.82565
2.805129051,0.016,,63.81145
2.817512035,0.0004,,63.82705
2.829817057,0.0028,,63.82465
2.84203887,0.0015,,63.82595
2.85443902,0.0001,,63.82735
2.86666584,0.0024,,63.82505
2.878891945,0.0166,,63.81085
2.891155005,0.0219,,63.80555
2.903678179,0.0065,,63.82095
2.916035891,0.013,,63.81445
2.928062201,0.0175,,63.80995
2.940489769,0.0112,,63.81625
2.952865839,0.0113,,63.81615
2.965004921,0.0283,,63.79915
2.977327108,0.0306,,63.79685
2.993517876,0.0086,,63.81885
3.005844831,0.0005,,63.82695
3.018101931,0.0061,,63.82135
3.030362129,0.0137,,63.81375
3.042708874,0.007,,63.82045
3.055588007,0.012,,63.81545
3.067293167,0.0101,,63.81735
3.079572916,0.0191,,63.80835
3.091871977,0.0186,,63.80885
3.104152918,0.0075,,63.81995
3.116513014,0.002,,63.82545
3.128834009,0.0115,,63.81595
3.141071081,0.0026,,63.82485
3.153350115,0.0025,,63.82495
3.165696859,0.0076,,63.81985
3.177902937,0.0074,,63.82005
3.190233946,0.0067,,63.82075
3.202560902,0.0233,,63.80415
3.214951992,0.0013,,63.82615
3.227202892,0.013,,63.81445
3.239323139,0.0276,,63.79985
3.251790047,0.0333,,63.79415
3.267917871,0.0012,,63.82625
3.280232906,0.0066,,63.82085
3.29250288,0.0064,,63.82105
3.304798841,0.0148,,63.81265
3.317400932,0.0009,,63.82655
3.329409838,0.0115,,63.81595
3.341696978,0.0138,,63.81365
3.353996038,0,,63.82745
3.366477013,0.0041,,63.82335
3.378593922,0.001,,63.82645
3.390820026,0.0051,,63.82235
3.403126955,0.0072,,63.82025
3.415788889,0.0136,,63.81385
3.42770195,0.0016,,63.82585
3.440026045,0.0046,,63.82285
3.452332973,0.0235,,63.80395
3.464791059,0.0321,,63.79535
3.476915836,0.0001,,63.82735
3.489191055,0.0203,,63.80715
3.501556873,0.0141,,63.81335
3.513961792,0.0005,,63.82695
3.526117086,0.0098,,63.81765
3.542325974,0.0034,,63.82405
3.554623842,0.0068,,63.82065
3.566926956,0.0006,,63.82685
3.579270124,0.0064,,63.82105
3.591518164,0.0005,,63.82695
3.603916883,0.0101,,63.81735
3.616133928,0.0445,,63.78295
3.628540039,0.0392,,63.78825
3.640676975,0.0083,,63.81915
3.65295887,0.0072,,63.82025
3.665779829,0.0182,,63.80925
3.677697897,0.0046,,63.82285
3.689862013,0.0045,,63.82295
